,search_id,search_query,ts,cuid,total
175,STUSMW7Mw0LkWebJgjkS,the heights,2019-08-26 06:19:29-03:00,173238837,31571
176,YVkd1no4xn1QBsqL7HT1,holocaust survivor band,2020-10-20 23:40:25.000 -0400,322874939,18
177,ArNR6OAN0EP2dT11DQuI,charity,2020-03-25 15:15:40.000 -0400,475251146,90141
178,Xh0dNA9xRlIDRPooYTka,zack giffinhaines,2020-06-15 02:53:46-04:00,254681706,0
179,JfJkMRd0TW9OJcrJn7nw,tokyo,2018-09-20 06:07:14.000 -0400,665887892,68022
180,0lR0moHcfx2eYsgyPPgc,speech,2020-04-16 13:49:04.000 -0400,405081363,119345
181,qXgU1gDqCgd8OMwM5ROi,ahodges@hotmail.com,2019-11-06 09:57:17-05:00,290752101,0
182,TirebJNKngG5OcwOmdud,robin pailler,2020-04-06 00:06:22.000 -0400,148949732,21
183,5YJ8ZQTwSWg5DyriKEB7,news paper,2019-12-18 16:48:22.000 -0500,380697673,48941
184,VdafQF8iXFztGJJqQZH4,gallery,2020-02-19 18:42:23.000 -0500,151875431,184383
185,0BJuL6xO2lM4oxpi3Mh2,iceland,2020-02-18 13:32:01.000 -0500,164772763,39075
186,3n9X5ctsfRsAWsKxhkZ1,black magic pocket camera,2020-08-19 05:21:28.000 -0400,20507721,4
187,z22Fib5tPuof7I8pNR2q,short film map,2018-10-11 16:13:53.000 -0400,424777458,657
188,wOyiFPqxc7o14hsGlEc0,love,2019-12-03 11:31:52.000 -0500,221722107,1362840
189,K45T2D5fYw9jF9Z2HsSQ,ads,2018-10-03 11:02:27.000 -0400,380560987,171461
190,cqQGcNxk79rYFRkMKsyB,themorning after,2018-11-13 08:57:03-05:00,696069936,0
191,fdYJEZOG64oAMYBz4Ng0,canon m6 footage,2020-01-21 23:34:11.000 -0500,172986479,3888
192,iycJpC7odo7kBpyIBAuT,oil,2019-11-26 05:50:19.000 -0500,552734458,97373
193,oUmDTpnXA7W0QY77mGOr,light,2020-04-06 13:51:02.000 -0400,534485947,655877
194,tEIgZQWiIWSEyKqLvLXb,short film,2020-09-02 08:46:43.000 -0400,328008645,1118
195,zrJJjic6iJMM8taAnPCy,scavengers,2020-08-31 18:14:43.000 -0400,540322810,574
196,Bkl1P9zqQqWg6duw45w0,friends,2018-10-17 22:36:54.000 -0400,39801452,518501
197,LJfA2rmB1JxlJ0rg80el,anihilation,2020-03-23 00:59:00+02:00,472270822,9
198,A8bgoMbqEOC7IZxO38sU,revenge of the beast,2019-10-24 20:51:49.000 -0400,29159704,89
199,jB6CBVNAB8bbTvJlF2m4,elle fanning,2020-09-16 17:40:58.000 -0400,353117071,314
200,mh0SbmXMAE6sCkts3uEc,america drone,2020-06-30 13:40:10.000 -0400,200855557,730
201,ifJCozaQiCfk1d0Mqj8b,jerryhughes@gmail.com,2019-07-17 07:15:35+04:30,633299928,0
202,yo1If4M3T3o16jzeBHiw,lily rice,2019-10-23 16:51:33.000 -0400,385937682,111
203,49KOHnseBQtDiiU9lqK3,bull rider,2020-02-06 07:19:47.000 -0500,251484338,816
204,7gv5twqod82I7WokRZt8,underwater,2019-11-04 19:36:25.000 -0500,620666286,53627
205,xjNFrUpq6hhiQOzefaQu,lavender,2019-10-20 21:57:42.000 -0400,670533697,6867
206,0Trjf1aGKBSH6m6mEbAI,cutting loose,2018-10-02 17:21:36.000 -0400,579238647,728
207,60OnryxPxqS0W5vM8cE9,puma,2020-04-29 08:58:08.000 -0400,114450322,13558
208,3BzEullCz0wVhmGpkOpG,jamie xx,2020-10-05 12:27:30.000 -0400,353279050,1218
209,GjcCRUsPxzbcZTzNgEgV,4k,2019-10-31 09:19:22.000 -0400,111082997,179383
210,uxjU7dSKedKzW6YH75hW,salomon ligthelm,2019-12-27 06:59:23.000 -0500,141682154,721
211,6FlQIY7vNc7k4tM6F5pq,jessica ashman,2020-07-29 11:57:40.000 -0400,358456043,41
212,PGUNRWLfE7EjhFi35s44,commercial,2018-09-14 23:09:19.000 -0400,416199974,617980
213,lGLrk15XrddDwywAIabE,case study,2020-01-22 10:20:16.000 -0500,257742254,83400
214,tVLENusIdkZ02MTIOyEJ,sea chair,2020-05-28 11:18:41.000 -0400,47457493,405
215,XNog1Q9HNGghjknbp3CM,architecture,2020-07-02 14:33:51.000 -0400,163132468,168548
216,OFIVqGwHMkPjK1hOpojU,japan,2020-10-09 10:27:30.000 -0400,126872515,31
217,mlU6hssa34fevU1Ev2MK,my story,2020-09-22 04:09:24.000 -0400,446693541,117073
218,UtGKJVodwI9g3EIbTiaU,music video,2018-10-20 02:35:28.000 -0400,683306859,91535
219,EnRmNbxiUmfWopgSEp5K,i-d,2020-02-20 19:48:35.000 -0500,683895504,224272
220,gbic0RWVgehUm7UE72lA,4k,2019-10-28 13:40:49.000 -0400,31191873,179158
221,430XxS1C1J2xZ9SzcIGA,uncanny valley,2020-02-25 09:35:19.000 -0500,465638852,3881
222,RBNsv0Ra3ETGIhzVPnzx,interview artist,2019-03-12 08:06:35-04:00,653071726,102199
223,g7ymFUMgdmB98yoKNzvH,documentary short,2020-03-06 18:27:50.000 -0500,611073310,143584
224,DqZntkpnPyNrdqF9aouB,philip bloom,2019-11-11 10:56:01.000 -0500,85138291,2389
225,N9blxYSx0zdhSkHPLpuO,theblaze,2020-03-21 05:05:55-04:00,588808733,185
226,RCYU2fFCffMrXxUlXCHC,Senior,2020-01-25 10:17:52-05:00,637355396,229563
227,X1jAgGBjvKqZCkAArUQ8,bonobo,2019-11-14 19:22:49.000 -0500,350351890,5466
228,TaroacMl7c9ROvCNzNr5,8k,2020-07-23 18:56:35.000 -0400,570663250,9497
229,9wMBV2dwy6JS9EvSFEpc,acid rain,2019-11-21 10:58:18.000 -0500,328727180,905
230,nGzA8ys4FmuPDPb2egqD,author cottage,2020-01-28 18:46:29.000 -0500,689745897,14913
231,2KkVDK74FouDLQuyGIVe,study,2020-04-20 20:22:33.000 -0400,444510431,373321
232,80KsqIESAHWLK3lnuXon,advertising,2020-01-15 18:07:00.000 -0500,406979700,221117
233,C7d1Rs0IXKsqAC3LPWbL,hipcamp,2020-01-10 14:58:00.000 -0500,189369183,52
234,wgQzWU3ffqdJ7alLcpwr,road trip,2019-12-04 22:24:59-05:00,243296569,58114
235,GBkaaUta6JjXaVMPe1Zw,https://dummyimage.com/195x720,2019-04-14 20:49:18-04:00,673935514,0
236,6IjbObYb88ZDdTtFrLOt,archetectural,2019-05-14 05:55:22-04:00,664881077,5
237,qTTsW4sEFpNV65fUl4jK,facebook covid video spot,2020-04-11 16:30:01.000 -0400,333209960,19866
238,NC1gw3DhdOnq0IAYubWP,https://www.lopez-jones.org/,2019-11-19 09:18:58-05:00,225053956,2
239,tl7It2pAji4iOntGiIRl,jim carrey,2019-12-11 14:42:09.000 -0500,307000513,926
240,NnGsFQSpMqRgERCaXVCu,home doors,2020-04-08 18:30:44.000 -0400,619609669,153731
241,jVgwdwtFNZnGCn5z8b51,roman de giuli,2018-09-23 08:15:16.000 -0400,676783743,19
242,4ui4bLXLSnohXl2HGArF,wandering soul,2019-11-25 18:22:28.000 -0500,147735833,8964
243,n20wADzsU2bLgEka6P5m,noweness,2020-01-08 07:26:11.000 -0500,480210154,121209
244,WyHwqFQjGA42sktnLYpZ,chair,2019-11-22 10:06:59.000 -0500,353912014,81942
245,BidI8N2K168s306Sqz57,wes anderson,2020-01-22 10:12:24.000 -0500,247038620,29221
246,CfbyCH0ptM03GmFIVIDt,room,2020-04-13 04:10:29.000 -0400,194828635,473822
247,ltrp9AOZ5SRUoFruR6J7,guaxuma,2020-03-02 17:57:36.000 -0500,209089318,22
248,NGkfMwH8INYapafUwEgI,knock down ginger,2018-09-18 10:15:30.000 -0400,459843780,13
249,KDPY76YvHz6NyvgBBQyg,too fast,2019-10-13 08:09:49-04:00,425055158,11495
250,Fnu249BGqRUTF3e93TJs,showreel,2020-02-10 04:03:39.000 -0500,9116475,437770
251,of1iFs2kIGRYJgX75f1J,bird effect,2020-04-07 15:07:20.000 -0400,332910759,112500
252,OpftdNeCs4QpbRKFSZDE,brad gobright,2019-11-30 06:09:27.000 -0500,304525072,16
253,95NQPWhnYStYXK9q90IS,notre dame de paris,2019-10-29 19:38:25.000 -0400,579485139,18224
254,T1cuLvyzFiC5ZRPH6xbr,scotland,2018-09-20 14:35:40.000 -0400,509244476,55157
255,viSVEajVjYSx4HR8TstM,music video,2018-10-20 02:29:02.000 -0400,683306859,91535
256,TFuiZCB5eLv8GMsDdRwS,marco prestini,2020-10-31 15:07:03.000 -0400,52483542,77
257,g3m2XUDYezz98FC8jgo7,no other way to say it,2018-10-18 09:02:24.000 -0400,190375478,4529
258,BCmdLqF4S6lxzfkw9B0M,anaak,2018-09-28 08:25:29.000 -0400,604879394,20
259,4AGJ7UD2HDegZl32eiY3,hdr,2020-06-17 18:09:16.000 -0400,85454603,19169
260,vQliMn6OAQfhfuU43SN5,carlos lopez estrada,2018-09-25 04:36:19.000 -0400,412933852,229
261,s7vHRWHBI5I2kXPVFQZG,food animation,2020-02-12 11:23:52.000 -0500,408272261,6443
262,8w5FKOVGYlQJzGUEtcKO,brotherhood,2020-01-15 21:09:48.000 -0500,501651424,9083
263,VCSVrvvzFL45G3CkWGJi,poisin,2019-08-28 09:42:42-04:00,465909227,11
264,MSYFQi3ow0cofcHiAoke,time,2020-06-04 19:23:53.000 -0400,594323564,1896924
265,TxPXA3CPKtt6a0IWwFN6,neels castillon,2020-07-20 04:41:03.000 -0400,678782520,151
