,search_id,ts,cid,position
21,TgzIq3CPG0cnnkUqWwpq,2018-10-22 08:26:23.000 -0400,290935145,7
22,VFriLceGMxGVTHHedPaH,2020-01-17 23:14:27.000 -0500,378113386,12
23,mkDclwmaKxQ8ZwwDNlxn,2018-09-09 22:52:53.000 -0400,202245355,17
24,DIN7tTP4xZafeWxUnHxc,2018-10-04 15:51:43.000 -0400,293033666,1
25,xEAbdhyrnLXQ2WpJ7VqI,2018-10-23 03:24:17.000 -0400,255698341,4
26,LZK0IQzcDJjaKDso4YPs,2020-05-19 13:14:21.000 -0400,73172036,1
27,hIRwtwPuYuSuOqV2HAo9,2020-06-14 17:47:50.000 -0400,276794240,1
28,Vop9CtZrk5qHMv2cdJdR,2019-10-31 14:59:28.000 -0400,339574637,1
29,kBptACPNApzg1JhtrVer,2019-11-20 08:59:35.000 -0500,26404699,1
30,VedIStYqdXHEyoyPHSHE,2019-10-15 03:11:00.000 -0400,5833413,15
31,BZgayhE53rAqPEJLzGmk,2020-05-07 15:12:12-04:00,81745843,19
32,LZeK5x7RBbsOaq8zVajx,2019-12-07 15:27:08.000 -0500,132328313,1
33,J8uC9fnsEynKCtgPfwe6,2019-10-21 17:16:52.000 -0400,236436605,2
34,LWWUpl2vAlrrAfbgLm5L,2020-07-13 23:40:25.000 -0400,123219861,10
35,isPDXZSoixsUf8rPce72,2018-10-09 06:59:12.000 -0400,282402702,1
36,Zuzxv0MGkSjwUcf2GkyF,2020-01-15 18:14:20.000 -0500,186219014,1
37,cyJd3kBUdsw0NAXDlMP5,2018-09-09 22:15:02.000 -0400,113841869,4
38,DpQGESgojcQPrsweB9xy,2020-03-13 05:36:18.000 -0400,85847275,1
39,YTBulLjd1TS15c4usaE5,2019-11-27 05:08:53.000 -0500,10886176,9
40,hZS1acX2TlXPrJYf1OzE,2018-10-06 23:42:50.000 -0400,255673806,47
41,zjlhjhMreqhpJ24ZoYP0,2018-09-16 20:37:25.000 -0400,260920165,1
42,w9hlwERCcKd0BCpb7ujb,2020-03-22 08:44:41.000 -0400,379629672,30
43,xbCyZgn9p2HFkVBIl63i,2020-02-08 00:52:48.000 -0500,127983231,3
44,qtwTmrWk2RK5uIqq7Qtv,2020-03-26 08:39:06.000 -0400,91333666,17
45,RNwkhUJZ9k9Nb9OV1hI4,2020-07-08 07:06:44.000 -0400,113221063,11
46,txVWbkvxJ4avygcuWpJt,2018-10-22 00:10:05.000 -0400,259703,16
47,3uUAL8T8AOwx1jmf1C2H,2020-02-04 01:42:35.000 -0500,295591903,1
48,LISJ0OEDteaZvNdxf4Lt,2020-03-25 22:55:02.000 -0400,131046102,1
49,tsrPLGnTaFqmzt6mgEdx,2019-12-26 22:21:53.000 -0500,354303820,1
50,vQliMn6OAQfhfuU43SN5,2018-09-25 04:36:36.000 -0400,120538042,4
51,8fmKzItTF2q63UAXQbJ3,2020-01-27 06:01:18.000 -0500,169644402,1
52,h5coN8hEkjtfBZP6OjRe,2020-05-11 21:42:21.000 -0400,222486164,2
53,s04bLtWB3pIHXk4FpuxJ,2018-10-18 21:07:39.000 -0400,295591903,4
54,lGLrk15XrddDwywAIabE,2020-01-22 10:20:32.000 -0500,81745843,13
55,PMEfHxx32s8SYj2Jh1Bk,2020-02-17 17:47:42.000 -0500,187772116,1
56,5DwDlR2XwmDoJ7FK0604,2018-10-15 19:02:41.000 -0400,286266707,3
57,MNzKhKLwCbzGBAtFx6P9,2018-10-22 20:21:37.000 -0400,108018156,1
58,mDET4vWiFxktFchV8VGC,2018-09-14 03:09:45.000 -0400,102958291,1
59,lpO3l7DwkYQzAAQhVAXy,2019-12-05 15:56:35.000 -0500,184859361,9
60,RZbm3uvDQCBMJZRv9aPc,2018-10-05 09:19:14.000 -0400,273656672,1
61,heJXYEp5TbthFbr2OrYP,2020-07-15 03:48:44.000 -0400,104419794,1
62,7mJ5DnpNRlCqgM4lYxg4,2020-02-01 11:28:40.000 -0500,101373765,1
63,C7d1Rs0IXKsqAC3LPWbL,2020-01-10 14:58:13.000 -0500,203607557,2
64,6gImSMTnriwwET1BUAqT,2020-02-23 11:18:11.000 -0500,188353336,3
65,mkDclwmaKxQ8ZwwDNlxn,2018-09-09 22:52:53.000 -0400,202245355,17
66,DvCdEY8oZAYDCC7LYUmg,2019-12-27 07:13:50.000 -0500,128122927,1
67,xS51GtGmuhvHaPivArDf,2018-09-04 18:34:29.000 -0400,132183063,2
68,Ro0EMi0qhss8GVb1FPkr,2020-04-28 21:52:45.000 -0400,167796382,1
69,TVLirOzQobLUaE18K806,2019-11-13 21:57:04.000 -0500,96514925,1
70,cyJd3kBUdsw0NAXDlMP5,2018-09-09 22:15:02.000 -0400,113841869,4
71,BPkuG48zgYmMIWytIKOi,2019-11-27 15:26:01.000 -0500,154265845,15
72,jf5bUjz6kfMvCf8DbUX7,2020-10-24 21:43:05.000 -0400,239211920,2
73,XcxIJ0ZnXplBjnMJxOWb,2020-04-08 11:49:44.000 -0400,18991085,5
74,jhbdKQg57zyjXr5yfPRl,2020-08-13 18:31:29.000 -0400,380779328,2
75,HlDAQMGNNnloJdqsNBuQ,2019-11-21 22:03:21.000 -0500,107231188,2
76,EbxPPap8ay96eRmo60Q3,2018-10-07 04:11:49.000 -0400,100656498,1
77,aVnlTj4wmR9kezjKur6T,2018-09-16 16:18:42.000 -0400,93003441,4
78,piHW2HdsGjY4cH4lcPJ6,2019-10-21 20:34:36.000 -0400,87169386,1
79,GEGoJWAtAswPTac3pYVT,2020-01-27 12:06:44.000 -0500,362410178,5
80,qtTcwEWdR9Jw6XsD5Hmp,2020-02-12 13:36:28.000 -0500,67658001,2
81,LE7ApHxQGpGH2NZSZi1v,2018-09-17 04:26:35.000 -0400,73665417,6
82,Zr9Uy7IiqX925D1YsMe7,2019-12-05 13:07:23.000 -0500,367830074,8
83,BL6bMWLPK7dx09UaQgEg,2020-06-14 18:59:50.000 -0400,397402255,2
84,oobtYEnhdTO1W7Pwbg1P,2019-12-05 20:42:48.000 -0500,364982284,1
85,zQauoiTRNux1dmUidJ8S,2020-04-08 09:01:55.000 -0400,402243207,1
86,4nCZHuD3fWe7FZaw58Kq,2018-09-04 16:14:45.000 -0400,126544483,5
87,5JHSmx6fj9NPF6skSbzQ,2018-09-11 05:18:14.000 -0400,84922558,8
88,1N6KCRL3UIlaWndS5OzX,2018-09-14 00:26:16.000 -0400,122038715,8
89,IL0jhIDQmI0bdAl07KFA,2020-01-07 17:02:48.000 -0500,221878712,17
90,ChHxFYryTS6qMw1OQkK5,2020-02-17 07:09:56.000 -0500,160842124,16
91,CY2YXv7nuX2FmRmyYJL3,2018-10-23 08:36:47.000 -0400,242514334,2
92,MaRUq6gofsYTO0Pk92Jh,2019-12-12 11:15:51.000 -0500,133214744,2
93,oVIQn6oJFwsI8w1nUiAK,2019-12-05 11:58:30.000 -0500,56782935,23
94,8sfzlF7wpXfkGVbprKot,2020-02-28 18:56:51.000 -0500,367812611,3
95,z62j2DFgBZmBzLm01iWG,2020-10-21 13:35:38.000 -0400,33205292,3
96,jxMIgRBxEu9uldSty6dS,2019-10-21 10:12:58.000 -0400,152381367,1
97,wOyiFPqxc7o14hsGlEc0,2019-12-03 11:32:39.000 -0500,129920646,12
98,0IeBm2znkR6uMfloOIA4,2020-08-20 09:34:36.000 -0400,336082660,13
99,P9Cm360L36tDzGfttxmt,2018-10-12 09:27:49.000 -0400,247824081,7
100,qzagxlhUXsfK7Hi9OEOw,2020-07-30 13:08:47.000 -0400,73537360,1
101,47p8Bohbn3XAmMUwT0O5,2019-10-17 19:31:05.000 -0400,213001450,2
102,hT23feVQfcwpQwntdiws,2018-09-11 18:16:56.000 -0400,207528129,8
103,WxhUohfe2cYNWDHCZMew,2020-06-30 09:42:21.000 -0400,277988603,1
104,ilcrHqmNPE4LhZgkiAfv,2020-09-19 15:32:45.000 -0400,105268986,2
105,4logpWUG2A8Du7w0tVne,2018-10-18 15:49:57.000 -0400,140447838,1
106,IUYRkoCPV08PF9VBAqza,2018-09-28 23:51:25.000 -0400,274865498,4
107,5JHSmx6fj9NPF6skSbzQ,2018-09-11 05:18:14.000 -0400,84922558,8
108,QCR6S44gswaPIIcF1V0W,2019-11-28 17:31:40.000 -0500,307133457,6
109,Gf373Bwzb7iqWvNKZRmK,2019-12-09 16:40:34.000 -0500,267392220,1
110,u2mKa0x2Q6MBJ635Gn8K,2019-06-22 23:15:47-04:00,122038715,3
111,BOwHhjyYPa6uh24ZMEYs,2020-03-12 07:11:04.000 -0400,142254284,1
112,vmzy6CxsqQLtWvHhTwti,2020-04-30 14:31:22.000 -0400,326809668,3
113,A8Zij6zTGJakobG5YAEj,2018-10-14 12:33:12.000 -0400,216306429,5
114,WInTBnveTXdJ9uTSHk16,2020-04-11 08:00:49.000 -0400,400501788,1
115,WonzqJCTJhL8nT5tKr0Q,2018-09-25 02:02:35.000 -0400,116634367,5
116,uqQVJ4eMDGyU2MAcfiqj,2018-09-24 21:45:16.000 -0400,4802703,12
117,YoCeWJWdniGyDSKGBPvu,2020-03-03 00:10:26.000 -0500,206313230,1
118,lWfoHp4mDCXhBH07f7qF,2020-07-03 10:30:40+02:00,935317,14
119,TgzIq3CPG0cnnkUqWwpq,2018-10-22 08:26:23.000 -0400,290935145,7
120,Uj1APHSuQfO5qpQmK7WV,2020-07-13 15:49:41.000 -0400,269974403,1
121,VSwD1N46rmlDHNOf21ts,2020-03-03 02:56:31.000 -0500,280433937,1
122,wd0PQDzef114FMmWH6QH,2020-03-28 22:35:45.000 -0400,264215257,3
123,PDkTBShcq3M8Y1bcOKp1,2019-11-27 15:30:50.000 -0500,114742469,4
124,MapTWz7OGEb9SRQilmcA,2020-04-16 02:26:57.000 -0400,85596568,1
125,sxYMuwuYVyzGL1sHjzx1,2020-01-10 21:10:33.000 -0500,252220553,1
126,4i5mG0Ge5xSSI2CzIjl9,2020-07-04 21:19:43.000 -0400,177458612,2
127,mDET4vWiFxktFchV8VGC,2018-09-14 03:09:45.000 -0400,102958291,1
128,Gox5fKq0oM9waUL10M0l,2020-05-07 04:46:52.000 -0400,280719701,3
129,tgS3WTA7il9UzVY1FRb1,2020-02-05 06:37:20.000 -0500,159870747,10
130,IZ11BBYmkHKrHI7NIoaj,2020-04-19 00:09:02.000 -0400,126833748,90
131,I2IETZLMdEcBXU4wN1fZ,2020-05-20 18:40:07.000 -0400,174957219,1
132,PYr4vX8G6nTRYPltO224,2020-01-15 15:57:21.000 -0500,72598776,6
133,QMvdyFtOimbg6fWjVT1b,2019-12-14 19:28:38.000 -0500,197854878,9
134,dbXpHLSmxqzyI03ilZsH,2018-10-14 13:38:36.000 -0400,112360862,17
135,pC7o7qIG7m7Z5hdirtFv,2019-12-28 23:28:26.000 -0500,378866519,16
136,GrLfcYN76Y2nYp7n3PN7,2020-01-02 15:57:49.000 -0500,65430449,6
137,Dhagy9Kt2AaE9wtlw40E,2019-10-07 21:54:40-04:00,156696950,3
138,a2dNBBQkTPcVOO5DZNy0,2020-02-22 23:08:23.000 -0500,130245089,2
139,TOeg3Z61QOxzV5N8QISY,2018-09-14 13:56:27.000 -0400,87454480,4
140,N4lrmviphqsdqKaYHJJv,2019-11-04 16:30:48.000 -0500,103664163,2
141,xkNP77v6EGrTLSOB21ao,2020-08-21 18:06:23-04:00,4281374,3
142,gmjOxlrRJ3PLZvgJ6STw,2020-10-20 02:12:39.000 -0400,118919656,11
143,6eLWUr5iZQ8LY09U5y8c,2020-02-28 19:17:04.000 -0500,150799305,2
144,gJyOQgPmezQZFgH7EirA,2020-03-10 02:43:20.000 -0400,80072357,18
145,9F8OeYT1yMaSfzm6vSzT,2018-09-01 18:50:00.000 -0400,25485145,1
146,HEXeWESVUc1liwQZBpg7,2019-06-09 08:34:24-04:00,134530201,2
147,aMH4E73pR3LihYWBxO50,2020-01-07 13:17:17.000 -0500,91440169,6
148,shoSziq3e69O7tzDv6q4,2020-03-19 19:39:20.000 -0400,194312144,1
149,ZNgxm3LMhksjBhP9qBvg,2018-09-11 16:27:00.000 -0400,234677070,6
150,FfnCbsnEH8UUy1IGUe6c,2018-10-14 18:52:32.000 -0400,248498013,2
151,mfAMRFNrn8ssvud2MYHD,2020-04-28 21:29:53.000 -0400,248072306,1
152,KQd9CyiDCiU9TYiyyIHC,2020-02-23 10:35:56.000 -0500,385369619,1
153,AEtlJXlPmhNJAZKLWpBF,2019-12-03 23:00:26.000 -0500,64532461,6
154,2KkVDK74FouDLQuyGIVe,2020-04-20 20:23:26.000 -0400,294597824,8
155,isPDXZSoixsUf8rPce72,2018-10-09 06:59:12.000 -0400,282402702,1
156,ZTt9NvSlumeRnl1CDRc2,2018-09-17 14:56:08.000 -0400,176508773,17
157,0lt40mVV7POVw7MSYEPh,2020-08-07 01:32:46-04:00,258651879,11
158,YJtBJNrkYX8eFuWE76R7,2019-11-20 19:07:15.000 -0500,371393039,1
159,65TCAPcBgXImW3yiBODq,2018-09-20 14:35:27.000 -0400,73747093,4
160,ltrp9AOZ5SRUoFruR6J7,2020-03-02 17:57:41.000 -0500,372750763,1
161,CNtUciW8GdMir2Z2VhwI,2018-09-20 11:50:43.000 -0400,25988841,4
162,DYMVEv1XYVSIXs99sMw2,2020-05-22 20:01:21.000 -0400,86033985,2
163,d9QD4TulwrcMeHY5g9ia,2018-10-04 05:48:07.000 -0400,162658656,4
164,0YWu3J9ZaPyXH61vnrsH,2019-11-21 07:14:34.000 -0500,133697756,13
165,NImlPWw90qpK3qVTKyac,2020-05-11 21:23:20.000 -0400,343690454,5
166,vWuxWUtoNghzZ5k3Xbm3,2020-07-23 14:17:33.000 -0400,161363089,35
167,c4Bdo0Dfe8n1VAmksovX,2018-09-07 14:53:46.000 -0400,63990030,1
168,lJxIDi2yv3W9ILaxWauN,2019-10-19 02:35:17.000 -0400,83818210,2
169,mcCdSNqq0hm1i9SlAzBs,2018-09-12 11:23:02.000 -0400,184750371,1
170,9CH4OW0u1exEWwLP3Vme,2018-09-30 17:07:42.000 -0400,34630845,1
171,JVOxqbi88suNvpir34Xt,2018-09-06 18:34:26.000 -0400,288230647,4
172,UGKPoG2lyobWCXbGFN88,2019-12-27 21:19:56-05:00,14912890,19
173,cqnYvvLSk6K4GeHMlX9P,2018-10-04 17:16:17.000 -0400,246509344,4
174,TxbC264DFE83bujiegQp,2019-10-30 09:59:54.000 -0400,15504214,78
175,IoBUVcjY067OJwL4CI0o,2018-09-04 08:58:34.000 -0400,276794240,4
176,qXmgN7axIGZs6Yd6xNXk,2020-10-17 03:14:29.000 -0400,24884553,35
177,6FlQIY7vNc7k4tM6F5pq,2020-07-29 12:27:22.000 -0400,297720699,18
178,NuKFn71uyP2RLb9nBkt7,2018-09-12 03:24:32.000 -0400,122375452,1
179,llwnCjvlDHC8SNautDo6,2020-03-09 00:00:52.000 -0400,289371414,3
180,0UtgSc3KljyiW776HPhD,2020-10-22 19:32:17.000 -0400,105492659,1
181,UvTzg5rFVviLchlUwDu7,2018-10-03 21:06:44.000 -0400,169185898,1
182,gG77nDHsQmjdX3fZMEpC,2019-11-29 04:57:58.000 -0500,15504214,3
183,1irsRkjJwFloLuNJKaB7,2020-09-07 17:16:49.000 -0400,184840918,1
184,OIqm8xqxvX0v3wX7DN4B,2018-09-30 13:54:21.000 -0400,108018156,4
185,F2KZ8QizLqll1eeORTaf,2019-10-18 14:27:34.000 -0400,360865355,1
186,wTl7OfNWvFeJq9tZkdCX,2020-08-15 03:59:40.000 -0400,385369619,1
187,QnVwqHhD9ifUWo869qLM,2020-03-26 18:10:19.000 -0400,2910103,3
188,bFeFf4X985n8NcGBpnm3,2020-02-20 02:28:13.000 -0500,193946979,1
189,qWWynSFwEL9Rc9ugcWK8,2020-06-22 15:02:50.000 -0400,404482118,1
190,m5OyssmwdjuaH1SeJd5p,2020-03-31 14:54:53.000 -0400,401950743,1
191,IoTIbTxSCT0B2k1O9M1o,2020-06-30 20:39:24.000 -0400,194700076,5
192,O9umKSHHd98o8af85rXq,2020-01-13 17:24:32.000 -0500,177115630,18
193,XtHmVAaDqnr2SNjOCDwK,2020-04-30 04:12:57.000 -0400,147391888,47
194,M3TKUUkYUuqa2xJ3Hp0l,2019-10-22 08:32:07.000 -0400,126778688,4
195,P364K3kuOPhyfL53gibu,2020-01-23 16:42:51.000 -0500,295591903,1
196,kJuYWtN4R3uReOUHAzdN,2020-08-09 08:12:33.000 -0400,413064734,1
197,GMkRByobDB6xu052tXBZ,2019-10-25 23:55:00.000 -0400,84346114,16
198,DWHDmmRK12GnfNYwA1kw,2018-10-25 01:17:23.000 -0400,161487817,1
199,ZOK4ajVwXjj98VD12hKA,2020-09-22 05:22:34.000 -0400,100426447,8
200,UtGKJVodwI9g3EIbTiaU,2018-10-20 02:35:32.000 -0400,128171814,35
201,NhdiiFTimJQsmQdktY5G,2018-09-17 08:55:36.000 -0400,283314367,2
202,OsnWII5ogFlzqChfTnvu,2020-03-24 21:04:17.000 -0400,391525572,2
203,CJDyHTeu40xdFpjPOWQd,2018-09-24 08:23:09.000 -0400,156773180,1
204,yjAvUbD7Ts050v2iGWHX,2020-05-08 15:05:53.000 -0400,117280388,3
205,mwWYiPOdB8yqyegen2kP,2020-02-10 20:04:37.000 -0500,247075867,1
206,4AQoyuiGSj3dJvXEQTZ6,2020-06-04 18:53:16.000 -0400,370747767,1
207,zDwroLnM2h0kf69kTCaA,2019-12-03 05:36:55.000 -0500,358813229,7
208,ViN4S3BtgO7qn7yENby8,2020-01-24 11:09:32.000 -0500,95342512,2
209,UkZpQnpXqF0IHL5TYUHb,2020-04-17 23:29:33.000 -0400,64452605,5
210,Wfge7iTsUaf2trmq2BCZ,2020-07-05 17:14:53.000 -0400,337165155,1
211,SwE57sd7xHMOvX9GEVaT,2019-06-28 22:58:37-04:00,17376182,12
212,zjlhjhMreqhpJ24ZoYP0,2018-09-16 20:37:25.000 -0400,260920165,1
213,RT5amNMiyjUY2lsKg6tB,2018-10-12 13:26:26.000 -0400,291605603,1
214,NGkfMwH8INYapafUwEgI,2018-09-18 10:15:44.000 -0400,285336421,1
215,ugsSJscXUACVL9PdBXsJ,2020-09-22 20:29:50.000 -0400,146742515,1
216,nYXT1KuqPFZssjflvYMH,2020-04-15 23:33:53.000 -0400,107465232,1
217,hNCQBfoIISu46M9BSiJi,2020-02-10 23:11:31.000 -0500,353833615,1
218,l2lX0KS9vL9FwF8Do30E,2020-04-04 00:14:04.000 -0400,225747214,12
219,SgpfZ5As4wUACyvQE4pD,2018-10-03 10:10:33.000 -0400,272806748,3
220,gjczh9zka0LHrlgMV7zM,2020-01-29 00:12:12.000 -0500,1193942,2
221,bUdcnibhOHormYpujDKq,2018-09-20 15:47:13.000 -0400,165478850,1
222,ecJj4qsRzaTGud12G1NC,2020-05-30 11:39:55.000 -0400,422138964,1
223,EGXeKhW4DfUUbfhVdKdF,2019-12-13 00:33:57-05:00,136722796,20
224,6iWRtFojFqoIg0nVe84b,2018-10-09 05:02:45.000 -0400,14428901,7
225,dIB5HoPjksUFRSoqOMxU,2019-12-09 20:47:27.000 -0500,6079135,13
226,zvSt7KwlyMaCmkL680J6,2019-06-30 19:57:23-04:00,252220553,6
227,KGe6UNmknAJzzZtOCAzS,2020-02-25 17:30:42.000 -0500,252033617,3
228,S4mt7e7MqqWMpRlgxOcS,2018-10-18 06:06:13.000 -0400,52617766,48
229,d9QD4TulwrcMeHY5g9ia,2018-10-04 05:48:07.000 -0400,162658656,4
230,xaMjtrNJepBEqWzncpcF,2020-08-03 18:27:18.000 -0400,438017944,2
231,aIfOTPyx55re1H7XSODn,2018-10-02 00:46:34.000 -0400,274720181,1
232,mXJVOMcW7VnR6qESWK9O,2018-09-10 00:32:08.000 -0400,143894533,4
233,zwoSOXn6tVtldNhdQz5a,2020-03-09 09:26:45.000 -0400,204756235,7
234,Kl5m8HaVCtPdmIsdEiOD,2018-09-26 02:34:56.000 -0400,335628,8
235,OIqm8xqxvX0v3wX7DN4B,2018-09-30 13:54:21.000 -0400,108018156,4
236,nYze4lJhQkDPF4XVsaCJ,2020-03-08 17:23:54.000 -0400,266303689,4
237,MdtgmUL479035UCEPM0N,2020-05-23 02:33:20-04:00,407745497,7
238,CQOVKGH7T6MdgEvq9fc1,2020-01-15 02:53:30.000 -0500,319038756,21
239,JRNKATYURy9gwG7zrjLn,2020-01-21 16:04:57.000 -0500,370289517,1
240,8cHJX0od7UmAl8SWgNW0,2019-10-15 06:49:43.000 -0400,302472913,1
241,gBQwtlwxHdsMvBUwwsuQ,2018-10-05 13:23:33.000 -0400,19705053,1
242,qwahvjN1maEt9K5NDElC,2018-10-10 09:22:16.000 -0400,25988841,4
243,AaqyxmMASIj5lMBCegOT,2020-09-21 01:22:32.000 -0400,239448835,2
244,uLs2hPK4snV0UQvy7sj0,2020-02-03 10:38:40.000 -0500,363023845,1
245,MvVgaw17LGDjHske7bm1,2019-05-22 14:28:12+08:00,222486164,5
246,X1jAgGBjvKqZCkAArUQ8,2019-11-14 19:23:16.000 -0500,199858222,4
247,KLAqUyMS49ZZKn1nBTRr,2020-03-17 13:39:49.000 -0400,112208320,12
248,hlqwa3EteXk8vM18b5xK,2018-09-13 10:06:37.000 -0400,267406224,4
249,ztpbqiY8Q2pNQklFWCuj,2020-05-29 17:50:04.000 -0400,27246366,1
250,oCdqEObii16t4EXIQdcS,2018-09-09 11:28:24.000 -0400,108018156,1
251,29ArIlwjbZOIbsIFWdX7,2019-10-29 11:54:53.000 -0400,364844164,10
252,Ysn27vCtWyTU2V2CTFV1,2020-01-09 12:13:40.000 -0500,36397732,5
253,xB2EfEuw4bXcfG1bAOw7,2019-11-17 22:32:49.000 -0500,276012526,11
254,CaE5HqOE5wqv8BLG1MAZ,2018-10-09 16:59:50.000 -0400,2281077,7
255,QqKZcyKea8CMpTKMHudb,2020-07-16 15:37:10.000 -0400,286505925,1
256,OM3WKGlhHUKzOvIw5rNk,2019-12-20 15:07:13.000 -0500,372928927,4
257,2nfODZGtzApOB1iKXrXk,2019-10-25 10:41:40.000 -0400,353689645,1
258,4rBqvWWiFPLJeBJctHoh,2020-01-06 18:09:32.000 -0500,158075143,3
259,tBKtGsmEreJ4DVd2Hr4a,2018-10-05 14:17:39.000 -0400,227801697,10
260,0lR0moHcfx2eYsgyPPgc,2020-04-16 13:49:14.000 -0400,138713653,142
261,lfCTNIfnZhY3x8j3nBFh,2020-11-06 15:30:39.000 -0500,131046102,1
262,dOod1kExSzAIZfXsKMEf,2018-09-10 15:29:48.000 -0400,288230647,4
263,WzSyhLen2BXEu5OSygPS,2019-11-11 00:42:56.000 -0500,69272765,5
264,UFdWArYusTiixgdnD92u,2019-09-28 06:57:53-04:00,234498586,12
265,rrTgscQx8LRpXphk0QaE,2018-09-12 12:39:59.000 -0400,20203840,5
266,sy7WNUmlyaWEnozBm9Sj,2018-10-09 09:21:48.000 -0400,935317,8
267,Vaa41cMz1kFpvHX2MmWN,2018-10-17 10:21:12.000 -0400,103076330,4
268,RqHPJuVWFOkUoZgsdcse,2018-10-09 12:39:38.000 -0400,82920243,6
269,ROw9Mm598SCR4XtDqiMb,2020-03-19 18:23:35.000 -0400,225516052,1
270,4q46yDleeBUdis0oReHP,2020-01-11 12:03:28.000 -0500,104945861,14
271,nCi5qGUWkuux48ygUmhb,2020-03-30 15:39:39.000 -0400,98210665,1
272,mqGo9DjYR2C1yWgOpBNn,2018-10-14 22:13:04.000 -0400,246758971,4
273,4SBq6VUbIS5U9SZXIR2J,2018-10-08 16:12:14.000 -0400,50655982,10
274,s04bLtWB3pIHXk4FpuxJ,2018-10-18 21:07:39.000 -0400,295591903,4
275,QYb75HYmB5WZifGp128G,2018-10-17 16:53:50.000 -0400,183033618,20
276,Lkcyfxaz3ISbueLCy4aq,2020-10-21 01:28:55.000 -0400,8991732,7
277,MEi1FzqEJOIHR1Rlr0pX,2020-03-04 14:06:26.000 -0500,197854878,7
278,bVjuopbOtX5Fvl4LOznd,2020-10-06 16:02:20.000 -0400,296502639,1
279,pK9ClF8YXaLdbDiOdWl2,2019-11-15 16:44:28.000 -0500,352492210,1
280,n9f9u2ejMzWVDduPBjMM,2020-04-01 20:27:46.000 -0400,71319358,2
281,d1cpOw9eL6rBKp9Jt0sy,2020-05-27 23:43:13.000 -0400,189536800,1
282,X8hbmA6znLZv2A4MJXwh,2018-10-02 15:34:52.000 -0400,291628768,4
283,UwDgsa6JQGWP1MEcQGoM,2020-04-09 17:05:48.000 -0400,96558506,1
284,rUUUuYbi02IIREXdyTDv,2018-10-17 13:58:50.000 -0400,108018156,1
285,oiPmuWU9zxEEmfJ2HsVY,2020-04-14 11:13:15.000 -0400,402243207,1
286,CixbjGcuvrK1LtBCIcjH,2018-10-26 21:08:22.000 -0400,215093780,1
287,LaG48fhZWnNaEy6VvivX,2019-11-08 12:43:53.000 -0500,228341301,7
288,Au7xG3gRbcEZxPs0ugpN,2019-11-08 14:50:12.000 -0500,124053378,1
289,RZbm3uvDQCBMJZRv9aPc,2018-10-05 09:19:14.000 -0400,273656672,1
290,W8JucFyxtnEQ7Ym6Cfga,2020-10-26 12:11:16.000 -0400,154618727,1
291,7WlHp9gaWMgTMnXv7ZNP,2019-10-28 16:51:16.000 -0400,150531350,1
292,uhaC2foM5UIDcKKLgja9,2020-01-20 21:53:03.000 -0500,340293168,1
293,V3Z62p4FiUAhfywz8GjE,2019-11-26 13:05:42.000 -0500,74068427,96
294,mwXB1y9FFkZCRU5QfXoC,2018-09-16 20:05:04.000 -0400,206713775,2
295,dOod1kExSzAIZfXsKMEf,2018-09-10 15:29:48.000 -0400,288230647,4
296,JfJkMRd0TW9OJcrJn7nw,2018-09-20 06:07:27.000 -0400,8653232,7
297,r0ARGh3lclKCdR2g3cbM,2020-07-18 17:09:04.000 -0400,91605331,5
